Title	Section	Description
Kentucky Coffee Tree (Gymnocladus dioica (L.) Koch)	Description	"Kentucky coffee tree is a large round-barked tree belonging to the legume family and reaches heights of 60 to 100 feet. Its short trunk, 1 to 2 feet in diameter, divides into several large branches that end in contorted, stout twigs. Twice-compound leaves are arranged feather-fashion in 3-7 pairs of leaflets which are more or less ovalish without marginal teeth and 2-4 inches long. The tree is most easily identified in fall and winter for its large depressed leaf scars. The leaf which emerges late in spring is made up of a hundred or more separate oval leaflets arranged on the branches of the rib."
Kentucky Coffee Tree (Gymnocladus dioica (L.) Koch)	Description	"The flower, which blooms in May, is inconspicuous, greenish-white in terminal racemes, and has a tubular base about 1/2 inch long. Male and female flowers are found on the same tree. The fruit is a thick, flat pod, containing 4-7 flat broad seeds with a sticky pulp between them. The pulp dries at maturity and the seeds become olive-brown, 1/2 - 3/4 inches in diameter. "
Kentucky Coffee Tree (Gymnocladus dioica (L.) Koch)	Distribution	"The Kentucky coffee tree grows in moist woods, creek banks, and flood plains. It is mainly found in the Midwest from western Ohio to eastern Kansas and Oklahoma, southern Michigan to northern Alabama and Tennessee. The tree was much planted around farm houses and may now be maintained as ornamentals around newer buildings."
Kentucky Coffee Tree (Gymnocladus dioica (L.) Koch)	Conditions of Poisoning	"The leaves, seeds and pulp are poisonous and have affected sheep, cattle, horses, and humans. Sprouts eaten in the spring have produced toxicosis. Pods and seeds on the ground eaten in the fall or winter have produced poisoning. Leaves, young sprouts and seeds with the gelatinous material around them contain the toxin. "
Kentucky Coffee Tree (Gymnocladus dioica (L.) Koch)	Control	"Until spring grasses and herbage are abundant, animals should not be grazed in woods where the Kentucky coffee tree grows or where it has been cut and allowed to sprout. Since there are never more than a few of these trees in any woodland, sprouts can be grubbed out periodically, and thus poisoning from them can be prevented."
Kentucky Coffee Tree (Gymnocladus dioica (L.) Koch)	Control	"The pods cling to the tree through the winter and are shed in the spring. To prevent animals from eating the fallen pods, large fruiting trees can be fenced in. Although the tree has little commercial value, it is so rare that unnecessary cutting of it is not recommended."
Kentucky Coffee Tree (Gymnocladus dioica (L.) Koch)	Toxic Principle	"The toxic principle of this plant is uncertain. It is possibly the quinolizidine alkaloid, cytisine, which acts like nicotine."
Kentucky Coffee Tree (Gymnocladus dioica (L.) Koch)	Clinical Signs	"Clinical signs include rapid onset (within 1 hour) of intense gastrointestinal irritation, profuse diarrhea and straining, vomiting, hypertension, bradycardia, respiratory depression, muscle paralysis, and convulsions. Animals often display depression. Death usually occurs within a day after clinical signs appear."
Kentucky Coffee Tree (Gymnocladus dioica (L.) Koch)	Animals Affected	"Sheep, horses, cattle"
Lamb's Quarters (or Lambsquarters) (Chenopodium album L.)	Description	Lamb's Quarters is an annual weed with branched stems. The stems have purple or red stripes or marks. The leaves alternate and are green with a grey underside. The leaves growing at the base of the stem have more of a serrated edge than the leaves towards the top of the plant do. The leaves at the top of the plant are smaller. Flowers grow at the end of the stems and are grey-green. 
Lamb's Quarters (or Lambsquarters) (Chenopodium album L.)	Distribution	Lamb's Quarters is found throughout North America.
Lamb's Quarters (or Lambsquarters) (Chenopodium album L.)	Conditions of Poisoning	"Animals are poisoned when they consume large quantities of Lamb's Quarters. The leaves and grains of the plant used as a food source in some areas, and can be safely consumed in limited doses."
Lamb's Quarters (or Lambsquarters) (Chenopodium album L.)	Toxic Principle	Lamb's Quarters is a Nitrate Accumulator. It can acquire toxic levels of nitrates if grown in rich soil or if it's fertilized like it would be if grown in cropland. It can also accumulate toxic levels of Oxalates and Sulfates. All parts of the plant are toxic. 
Lamb's Quarters (or Lambsquarters) (Chenopodium album L.)	Clinical Signs	"Signs of nitrate poisoning include difficulty breathing and the mucous membranes of the mouth and vulva turning brown due to methemoglobin in the blood. Other symptoms are depression, weakness, tremors, weak pulse, and coma. Sudden death can occur due to respiratory failure because of methemoglobin forming. "
Lamb's Quarters (or Lambsquarters) (Chenopodium album L.)	Animals Affected	"Cattle, sheep, goats"
Lamb's Quarters (or Lambsquarters) (Chenopodium album L.)	References Used	"Burrows, George E., & Tyrl, Ronald J. (2013). Toxic plants of North America. Hoboken: Wiley-Blackwell."
Lantana (Lantana camara L.)	Description	"Lantana (yellow sage) is a native of tropical Americas and West Africa. In the northern states including Illinois, it is grown as a garden annual reaching 12-18 inches tall. In the south, from Florida to California, it grows as a perennial shrub of 3-6 feet tall. In the tropics, it may grow even taller. Leaves are opposite, ovate, 1-5 inches long and 1-2 inches wide, with very small rounded teeth, somewhat rough and hairy. Leaves are aromatic when crushed. Flowers are borne in dense clusters 1-2 inches across on the axils near the top of the stem. Each flower is tubular with 4 lobes flaring to about 1/4 inch, initially yellow or pink gradually changing to orange and deep red. Often, the different colored flowers are present on the same cluster. Fruit is fleshy, greenish-blue to black, and berry-like with each containing one seed."
Lantana (Lantana camara L.)	Distribution	"Lantana is commonly found along roadsides, fence rows, and in fields in Florida and southern California where it escaped cultivation. In the northern U.S., it is strictly a garden and greenhouse annual. "
Lantana (Lantana camara L.)	Conditions of Poisoning	"Animals in pastures with sufficient forage will often avoid Lantana, perhaps because of its pungent aroma and taste, but animals unfamiliar to the plant may ingest enough to affect them. Fifty to ninety percent of animals newly exposed may be affected. Foliage and ripe berries contain the toxic substances with the toxins being in higher concentrations in the green berries."
Lantana (Lantana camara L.)	Toxic Principle	"Lantana contains lantadene A and B (the major toxins involved in poisoning) as well as other structurally and toxicologically related pentacyclic triterpene acids, including reduced lantadene A, dihydrolantadene A, and icterogenin."
Lantana (Lantana camara L.)	Clinical Signs	"The major clinical effect of Lantana toxicosis is photosensitization, the onset of which often takes place in 1 to 2 days after consumption of a toxic dose (1% or more of animal's body weight). Jaundice is usually prominent, animals usually become inappetent, and they often exhibit decreased digestive tract motility and constipation. Other signs may include: sluggishness, weakness, and transient, sometimes bloody diarrhea. In acute cases, death occurs in 2 to 4 days. Subacute poisoning is more common and may result in death after 1 to 3 weeks of illness and weight loss. Raw photosensitized surface areas are susceptible to invasions by blowfly maggots and bacteria. In severely affected cattle, lesions may appear at the muzzle, mouth, and nostrils. Ulceration may be present in the cheeks, tongue, and gums, while swelling, hardening, peeling of mucous membranes, and deeper tissues occur in the nostrils."
Lantana (Lantana camara L.)	Animals Affected	"Cattle, sheep, horses, dogs, cats, guinea pigs, and rabbits"
Lantana (Lantana camara L.)	References Used	"Ross, I. A. (1999). Medicinal plants of the world: Chemical constituents, traditional, and modern medicinal uses. Totowa, N.J.: Humana Press."
Lantana (Lantana camara L.)	References Used	https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/lantana
"Larkspur, Dwarf and Other Larkspurs (Delphinium tricorne Michx. and other species)"	Description	"Dwarf larkspur is an erect, little-branched herb 1 to 3 feet tall. Its leaves, alternately placed and slender-stalked, are deeply divided into 5 to 7 nearly separate lobes, each lobe itself again rather deeply lobed or toothed. Its stout stem ends in a flower-bearing part that carries several blue or white, spurred blossoms 1 to 1 1/2 inches long. Three short-pointed rather fragile, widely spreading pods about 1/2 inch long develop from each blossom. These pods contain numerous small, dark seeds."
"Larkspur, Dwarf and Other Larkspurs (Delphinium tricorne Michx. and other species)"	Description	"The rocket larkspur (Delphinium ajacis L.), which is cultivated and sometimes escapes, may be recognized from the above general description. It is supposed, in common with all other larkspurs, to be poisonous."
"Larkspur, Dwarf and Other Larkspurs (Delphinium tricorne Michx. and other species)"	Distribution	"The dwarf larkspur occurs principally in the southern third of Illinois, where it is most often found in ravines and along streams in wooded sections. Northward it becomes less frequent and probably does not grow in the northernmost two or three tiers of counties."
"Larkspur, Dwarf and Other Larkspurs (Delphinium tricorne Michx. and other species)"	Distribution	"The rocket larkspur, also, is most abundant in southern counties, where it is most often found in open woods and fallow fields."
"Larkspur, Dwarf and Other Larkspurs (Delphinium tricorne Michx. and other species)"	Conditions of Poisoning	"Larkspurs are among the early spring plants, blossoming in late April and May. Animals turned out to graze in woods in the spring may eat the plant, especially if other herbage is scant. Cattle are the animals most often poisoned. Horses are susceptible to the poisoning but generally avoid larkspurs. Sheep, although seemingly resistant, can be poisoned by large amounts. Fatal poisoning of an animal may result from a single day's consumption of 1 percent or less of the animal's body weight of larkspur plants."
"Larkspur, Dwarf and Other Larkspurs (Delphinium tricorne Michx. and other species)"	Control	"Animals, especially cattle, should not be grazed in woodland pastures infested with larkspurs until there is an abundance of other herbage for them to browse. Heavily infested pastures probably should not be used until the larkspurs have been destroyed. In woods, where it is hard to use chemical weed-killers, the only way to eliminate the plant is to dig it out by the roots. "
"Larkspur, Dwarf and Other Larkspurs (Delphinium tricorne Michx. and other species)"	Toxic Principle	"Although larkspurs contain several other alkaloids, the main poison is the glucoside delphinin. "
"Larkspur, Dwarf and Other Larkspurs (Delphinium tricorne Michx. and other species)"	Clinical Signs	"Symptoms of larkspur poisoning vary according to the amount eaten and the animal's tolerance of the poison. Small amounts may cause loss of appetite, excitability, staggering, or muscular incoordination, and constipation. Severe symptoms include slobbering, nausea, vomiting, colic, bloating, and convulsive movements. Fatal poisoning brings convulsions and paralysis of the respiratory system. Autopsies reveal inflammation, or at least congestion of the windpipe, stomach and small intestine, congestion of the superficial blood vessels, and dark, extremely congested kidneys."
"Larkspur, Dwarf and Other Larkspurs (Delphinium tricorne Michx. and other species)"	Animals Affected	"Cattle, horses, sheep, dogs, cats"
"Larkspur, Dwarf and Other Larkspurs (Delphinium tricorne Michx. and other species)"	References Used	https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/larkspur
Lily of the Valley (Convallaria majalis)	Description	"Lily of the Valley is perennial that originally grew in Europe. The leaves are oval or oblong shaped and dull green in color. The plant has an arched stem with typically 5-18 white, bell-shaped flowers growing on it. Lily of the Valley does occasionally grow small, red berries. It is a popular potted house plant."
Lily of the Valley (Convallaria majalis)	Distribution	"While it is native to Europe, Lily of the Valley has been introduced in North America and has now become naturalized in some parts."
Lily of the Valley (Convallaria majalis)	Conditions of Poisoning	"Lily of the Valley is poisonous when eaten, though it's more common for children to get poisoned than for animals. There have been few reports of animals getting poisoned from consuming Lily of the Valley. "
Lily of the Valley (Convallaria majalis)	Toxic Principle	"There are 38 different cardenolides which have been identified in Lily of the Valley, with a large concentration of them found in the plant's roots. All parts of the plant, including the bulb and roots, are toxic. "
Lily of the Valley (Convallaria majalis)	Clinical Signs	"Vomiting, salivation, limited diarrhea, irregular pulse or decreased heart rate, seizures."
Lily of the Valley (Convallaria majalis)	Animals Affected	"All animals, people"
Lily of the Valley (Convallaria majalis)	References Used	"Burrows, George E., & Tyrl, Ronald J. (2013). Toxic plants of North America. Hoboken: Wiley-Blackwell."
Lupine (Lupinus)	Description	"Lupine is a herbaceous perennial, 12-26 inches tall. Leaves are alternate, palmately divided into 10-15 narrowly oblong leaflets. The leaflets are smooth or hairy above, and very hairy beneath. Bonnet-shaped flowers are born in racemes on a single center stalk 4-10 inches long. The flowers bloom in early to mid summer displaying their wide range of colors from deep blue, purple, light blue, lavender, rose, pink, yellow, and white. The fruit is a pod about one inch long containing several somewhat flattened seeds. The seeds are cream-colored and irregularly circular, and no more than 1/4 inch in diameter. "
Lupine (Lupinus)	Distribution	"Lupines thrive in dry open fields and prairie/wooded areas. The horticultural variety of lupine has been a favorite of many gardeners for ages. Though Lupine in Illinois is most frequently seen in flower gardens, most of the approximately 100 native species are found throughout the U.S. and Canada, mainly in states west of the Rockies. A blue wild variety of lupine covers Texas open ranges in early summer, earning the rank of the State Flower. A different wild variety is also widely encountered in early summer by the visitors of the Olympic National Park in the State of Washington. "
Lupine (Lupinus)	Conditions of Poisoning	"Poisoning varies depending on the lupine species and varieties, and it is difficult to pin point to specific plant or animal since different animals become susceptible in different ways under varying range conditions."
Lupine (Lupinus)	Conditions of Poisoning	"Species and taxonomic differentiation between species are insufficiently characterized. Different lupines produce varying syndromes in a a given species of livestock. Seasonal variation in toxicity in a given species of lupine exist and many species are acceptable forage under range conditions. Plants which are in the preflowering stage of maturity are unlikely to be hazardous, under normal range circumstances, except in the case of L. leucophyllus which may cause toxicosis as a result of consumption of young plants. Alkaloids are not lost upon drying. Range hay may be highly toxic if the seeds are retained, and this occurs when the majority of the pods are immature; mature pods open when drying and the seeds are dropped as the hay is bundled. For many lupines, the time and degree of seeding varies year to year."
Lupine (Lupinus)	Conditions of Poisoning	"Most losses occur under conditions in which animals consume large amounts of pods in a brief period, such as trailing animals through an area where the grass is covered by snow but the lupine is not or when feeding podded lupine hay, which is apparently palatable. Most cases of serious poisoning therefore occur in the fall because lupine remains green after other forage has dried."
Lupine (Lupinus)	Toxic Principle	"More than a dozen quinolizidine alkaloids, but some piperidine alkaloids and other types of alkaloids have also been isolated from species of Lupinus. These alkaloids are largely nicotinic in effect. The nitrogen oxides of some of these bases have also been detected in some lupines. The alkaloids are present in the foliage but the greatest concentration is in the seeds."
Lupine (Lupinus)	Clinical Signs	"Signs include characteristic labored breathing (snores) in sheep, with depression, salivation, ataxa, clonic spasms, head pressing tremors, seizures and coma, and frequently death. Death may be preceded only by coma and no other signs or alternatively, preceded by violent attacks on other animals or objects. Signs may appear as early as one hour after ingestion or as late as 24 hours after consumption. Death may occur within one day or occur several days later and is a result of respiratory paralysis. Cattle under range conditions rarely display clinical signs. Consumption of the plant may also affect the flavor and odor of the milk produced by the poisoned animal."
Lupine (Lupinus)	Animals Affected	"Sheep, cattle, horses"
Lupine (Lupinus)	References Used	"Knight, A. P., & Walter, R. G. (2001). A guide to plant poisoning of animals in North America. Jackson, Wyo.: Teton NewMedia."
"Maple, Red (Acer rubrum)"	Description	"Trees are large and can reach heights of approximately 100 feet when mature. Leaves have three to five lobes and are simple and opposite with red petiole, shiny green topside and white/gray underside. Leaves turn red during the fall. "
"Maple, Red (Acer rubrum)"	Distribution	Red maple trees are common throughout most of eastern North America and south to Florida and Texas. They adapt to moist or dry areas and are often planted as ornamental trees.
"Maple, Red (Acer rubrum)"	Conditions of Poisoning	Poisoning usually occurs when horses consume wilted or dried leaves of the red maple. Most poisonings occur in the fall when the bulk of the leaves drop. 
"Maple, Red (Acer rubrum)"	Control	Maintain a good feeding program for horses and remove red maple leaves and fallen branches from horse enclosures. Do not plant red maple trees in or near horse enclosures.
"Maple, Red (Acer rubrum)"	Toxic Principle	Pyrogallol.
"Maple, Red (Acer rubrum)"	Clinical Signs	"Consumption of the wilted leaves is known to cause oxidative damage to equine erythrocytes that may result in intravascular or extravascular hemolysis, Heinz body formation, and/or methemoglobinemia. After consumption, horses exhibit clinical signs within 1 to 2 days. Symptoms include destruction of red blood cells (anemia), weakness, dark urine, difficulty breathing, abortion, and death. The fatality rate after consumption has been reported to be between 50-65%."
"Maple, Red (Acer rubrum)"	Animals Affected	"Horses, alpacas, zebras"
"Maple, Red (Acer rubrum)"	References Used	"Wilson, D. A., DVM. (2012). Clinical veterinary advisor: The horse. St. Louis, MO: Elsevier Saunders."
"Maple, Red (Acer rubrum)"	References Used	"Knight, A. P., & Walter, R. G. (2001). A guide to plant poisoning of animals in North America. Jackson, Wyo.: Teton NewMedia."
"Maple, Red (Acer rubrum)"	References Used	"Burrows, George E., & Tyrl, Ronald J. (2013). Toxic plants of North America. Hoboken: Wiley-Blackwell."
"Maple, Red (Acer rubrum)"	References Used	https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/red-maple
Mayapple (Podophyllum peltatum L.)	Description	"Mayapple is a perennial herb of the Barberry family. Leaves are umbrella-shaped and are about 8 inches wide with 5-9 lobes. Plants that have a single leaf do not flower, while those with two leaves develop a single flower in the axil of the leaf stalks. The flower appears at the end of the downward-curved flower stalk about 1 inch long. The flower, with 6 or more white petals and about 1.5-2 inches across, blooms in April to May, and is eventually replaced by a green ovoid fruit. The plant withers away by mid-summer."
Mayapple (Podophyllum peltatum L.)	Description	"Although the creeping, fleshy rhizome has been used to prepare medicine commercially, it is poisonous by contact. The green leaves and unripened fruit are poisonous but the fruit becomes edible as it ripens and turns greenish-yellow in color. "
Mayapple (Podophyllum peltatum L.)	Distribution	"Mayapple is found throughout the eastern and midwestern states of the U.S., from New York to Georgia and as far west as eastern Kansas and northeastern Oklahoma. Mayapple grows in colonies in damp meadows, woodlands, pastures, and along roadsides, and is a familiar spring woodland plant in all counties of Illinois. "
Mayapple (Podophyllum peltatum L.)	Conditions of Poisoning	"Poisoning of livestock occurs primarily in the spring, but the plant is usually avoided and seldom eaten in harmful amounts by livestock. The root is the most toxic part and handling of it may cause dermatitis or other skin problems in humans. "
Mayapple (Podophyllum peltatum L.)	Toxic Principle	"The toxic principles include the bitter resinous substance podophyllin, which is extractable with alcohol and precipitated in water. Podophyllin is actually a mixture of at least 16 physiologically active compounds, which are divisible into two groups, the lignans and flavonols. One of the active lignans is podophyllotoxin."
Mayapple (Podophyllum peltatum L.)	Clinical Signs	"General signs include purgation, catharsis, and other signs referable to gastroenteritis."
Mayapple (Podophyllum peltatum L.)	Clinical Signs	"Affected cattle may show the following signs: hypersalivation, anorexia, lacrimation, diarrhea, and excitation which lasts about 1 day. The muzzle and intermandibular area as well as the eyelids may become swollen."
Mayapple (Podophyllum peltatum L.)	Clinical Signs	"When swine consume mayapple shoots or leaves, death may occur after few signs."
Mayapple (Podophyllum peltatum L.)	Clinical Signs	"Experimental studies with a podophyllotoxin from a plant in the same family, also termed mayapple, show evidence of degenerative changes in the liver, intestine, testis and pancreas in orally exposed animals. "
Mayapple (Podophyllum peltatum L.)	Animals Affected	"Cattle, swine, dogs, cats"
"Milkweed, Common (Asclepias syriaca L.)"	Description	"Common milkweed is an herbaceous perennial that can grow from 2 to 6 feet tall, though typically only grows to 3-4 feet. The stems of the plant are stout and leaves are light green, simple, and oblong, and are alternate and opposite. Stems and leaves produce a milky juice when injured. Flowers are dusty pink or lavender and fragrant, and grow in domed, drooping umbels in the leaf axis. Seed pods are 2 to 4 inches long and have a warty appearance, and split open when ripe to release numerous silky-tailed seeds which are dispersed by the wind."
"Milkweed, Common (Asclepias syriaca L.)"	Distribution	"Common milkweed can be found in all parts of the central to eastern United States. The plant can be found in fields, open woods, and by roadsides and railroad tracks."
"Milkweed, Common (Asclepias syriaca L.)"	Conditions of Poisoning	All parts of the plant are poisonous when eaten and toxicity is retained when dried.
"Milkweed, Common (Asclepias syriaca L.)"	Control	"Milkweeds tend to grow singly or in small groups and can be controlled by digging out individual plants or selectively spraying an herbicide such as 2,4-dichlorophenoxyacetic acid (2,4-D). Care should be taken not to include milkweed when making hay, as toxicity is not reduced by drying."
"Milkweed, Common (Asclepias syriaca L.)"	Toxic Principle	Cardiac glycosides and resinoids. The cardiac glycosides affect myocardial conduction and contractility in the poisoned animal.
"Milkweed, Common (Asclepias syriaca L.)"	Clinical Signs	"Signs of poisoning usually begin within 8-10 hours after ingestion and severity is influenced by how much of the plant was consumed. Symptoms include vomiting, stupor, weakness, spasms, and rapid and/or weak pulse."
"Milkweed, Common (Asclepias syriaca L.)"	Animals Affected	"Milkweed species are known to affect sheep, goats, cattle, horses, domestic fowl, cats, and dogs"
Nightshade (Solanum spp.)	Description	"About 1,500 Solanum species exist in the world, and they include some of the most common garden plants such as potato (Solanum tuberosum L.) and eggplant (Solanum melongena L.). One of the species, Jerusalem cherry (Solanum pseudocapcicum L.) is grown as a house plant for its compact form and small round berries which turn bright red at maturity. The tomato (Lycopercison esculentum Mill.) is also a related plant. Included in this entry are descriptions of Black Nightshade, Bittersweet Nightshade, Silverleaf Nightshade, and Horse Nettle. Horse Nettle also has its own expanded entry, and other related species may be found under their own names."
Nightshade (Solanum spp.)	Description	Bittersweet Nightshade (S. dulcamara)
Nightshade (Solanum spp.)	Description	"Bittersweet nightshade is also known as European bittersweet or climbing nightshade. This plant grows from rhizomes and is a slender climbing or trailing perennial reaching 6 feet in length. Leaves are alternate, ovate, simple or deeply lobed, 1-1/2 to 4 inches long, and pointed at the tip. Flowers are deep purple or bluish purple with flower stalk arising between the leaf nodes or opposite the leaves. Nearly round fruits turn red when mature and stay on the vines through mid winter."
Nightshade (Solanum spp.)	Description	Black Nightshade (S. nigrum)
Nightshade (Solanum spp.)	Description	"Black nightshade is an annual herb with a tap root. Stems are erect and much branched reaching 3 feet tall. Leaves alternate, ovate or lanceolate, and long-stalked. The flower has 5 white petals, sometimes with a yellow inner star, and ranges from 1/4 inch to 3/8 inch across. Berries are round and about 1/4 or so inches across, green, and turn purplish to black when ripe. Immature berries and foliage are toxic, but ripe fruits are reportedly edible."
Nightshade (Solanum spp.)	Description	"Plants commonly known as black nightshade may include two native species, American Black Nightshade (S. americanum P. Mill.) and Eastern Black Nightshade (S. ptycanthum Dun.), as well as S. nigrum which was introduced from Europe and is widely naturalized. Solanum ptycanthum may be more commonly found in the midwest since S. americanum appears to be more concentrated in the southern states."
Nightshade (Solanum spp.)	Description	"Horse Nettle, Bull Nettle (S. carolinense) ?"
Nightshade (Solanum spp.)	Description	"A perennial with a deep taproot and rhizome below ground. Its stem and leaves have yellowish spines and sometimes are hairy. Leaves are alternate and ovate with irregularly wavy or lobed margins. Flowers appear in June to August, are light purple to white, 3/4 to 1 inch across, and in short racemes near the top of the plant. Petals are united with 5 points at the margin. Fruits are globose, about 1/2 inch in diameter and yellow when mature. Yellow or brownish seeds are numerous, and irregularly circular, about 1/8 inch across. "
Nightshade (Solanum spp.)	Description	Silverleaf Nightshade or White Horse-Nettle (S. elaeagnifolium)
Nightshade (Solanum spp.)	Description	"This perennial herb gets its common name because of its silvery appearance caused by the numerous fine hairs. Its thick, lanceolate leaves are wavy and roughly indented (sinuate). The stems and parts of the leaves have short stiff spines. The flowers appear at the end of branches and have petals which are pale to deep blue or lavender in color."
Nightshade (Solanum spp.)	Distribution	Bittersweet Nightshade (S. dulcamara)
Nightshade (Solanum spp.)	Distribution	"An introduced species from Eurasia, this plant is found in moist ground of low woods, roadsides, fence rows and thickets. It ranges from Nova Scotia to Minnesota through much of the Midwestern states and south to Florida and Texas. In Illinois, this plant is commonly found in the north-eastern counties including Champaign."
Nightshade (Solanum spp.)	Distribution	Black Nightshade (S. nigrum)
Nightshade (Solanum spp.)	Distribution	"The native species, S. americanum, is usually found in undisturbed habitats or moist open woodlands, stream banks, valleys, fields, roadsides and waste places throughout the east central United States from Maine to Florida and west to Minnesota, Nebraska and Oklahoma. It is found in almost all counties of Illinois. The introduced species, S. nigrum, is rare in Illinois but abundant in some places from Minnesota and the Dakotas to Oklahoma."
Nightshade (Solanum spp.)	Distribution	"Horse Nettle, Bull Nettle (Solanum carolinense L.)"
Nightshade (Solanum spp.)	Distribution	"This plant is found in waste spaces or neglected fields, gardens, and roadsides from the Atlantic coast to Texas, north to South Dakota and as far south as Florida. It is a common weed in all counties of Illinois."
Nightshade (Solanum spp.)	Distribution	Silverleaf Nightshade or White Horse-Nettle (S. eleagnifolium)
Nightshade (Solanum spp.)	Distribution	"Silverleaf Nightshade is found in large colonies in open woodlands, pastures, stream valleys, roadsides and disturbed or waste grounds in the Southwest from Missouri to Kansas, Oklahoma, Texas, Arizona, New Mexico and southwestern Colorado. This plant is found in a a few counties of Illinois, but a similar species (S. carolinense) is easily mistaken for this plant. "
Nightshade (Solanum spp.)	Conditions of Poisoning	"Poisoning by these Solanum species occurs primarily when animals are confined in overgrazed fields or where nightshade is abundant. The hazard of poisoning varies depending on the plant species, maturity of plants, and other conditions."
Nightshade (Solanum spp.)	Conditions of Poisoning	"Generally, the leaves and green fruits are toxic. Ingestion of juice from wilted leaves may be especially toxic and sometimes deadly. Many cases of poisoning have been reported as a result of eating green berries. Green berries have produced severe intestinal, oral and esophageal lesions in sheep. Cattle reportedly seek out the berries of Solanum species and will eat the green plant, specially when other green forage is unavailable. Silverleaf nightshade (S. eleagnifolium) is exceptional in that the ripe fruit is more toxic than the green. S. eleagnifolium is toxic at only 0.1% of the body weight. Toxicity is not lost upon drying. Solanine content increases up to maturity. Solanine, except in potatoes, is reportedly destroyed by cooking. Potato (S. tuberosum) peelings contain the major portion of the toxic principle in the tuber, and leaves, sprouts and vines. Sun-greened potatoes are especially toxic. Spoiled potatoes and peelings also have caused severe poisoning. Cooking does not appear to destroy all the alkaloids in greened potatoes. Toxicity may vary with the soil, climate and other variables. Animals may browse potato plants or eat sprouted potatoes, leading to problems. "
Nightshade (Solanum spp.)	Control	"Animals should be kept away from fields with heavy infestation of nightshade. Plants should be mowed or pulled up while in flower, and burned. Remove green parts of potatoes before cooking, eat only ripe tubers."
Nightshade (Solanum spp.)	Toxic Principle	"Many contain the steroidal glycoalkaloid solanine. Upon hydrolysis, a sugar and the alkaloid solanidine are recovered. The free (unconjugated) steroidal alkaloid (the aglycone) is the primary form acting on the nervous system."
Nightshade (Solanum spp.)	Toxic Principle	"Other aglycones present may include dihydrosolanidine, tomatidine and strophanthidin. Toxic properties of these compounds are characteristic of saponins."
Nightshade (Solanum spp.)	Toxic Principle	"Some of these plants also have cardiac effects, e.g., Jerusalem cherry (S. pseudocapsicum) contains an additional alkaloid, solanocapsine, which produces bradycardia."
Nightshade (Solanum spp.)	Toxic Principle	"In some plants, atropine-like constituents predominate, e.g., potato (S. tuberosum), and some strains and stages of black nightshade (S. nigrum)."
Nightshade (Solanum spp.)	Clinical Signs	"Clinical signs vary with irritant effect caused by the intact glycoalkaloid or saponin, and the nervous effects of the alkaloid. Irritant effects include hypersalivation, anorexia, severe gastrointestinal disturbances, with diarrhea that is often early and hemorrhagic. The nervous effects include apathy, drowsiness, depression, confusion, progressive muscular weakness, numbness, dilated pupils, trembling, labored breathing, nasal discharge, rapid heartbeat, weak pulse, bradycardia, central nervous system depression, and incoordination, often accompanied by paralysis of the rear legs. Coma may occur without other nervous signs. High doses may cause intestinal stasis and constipation. Hemolysis and anemia, possibly a result of saponins, have been reported, with renal failure in severe cases. Terminal signs include unconsciousness, shock, paralysis, coma, circulatory and respiratory depression, and death. The course varies from sudden death to 3-4 days of illness which may terminate in death or recovery. In less acutely poisoned animals, there may be yellow discoloration of the skin in unpigmented areas, weakness, incoordination, tremors of the rear legs, anemia, rapid heart rate and bloat."
Oleander (Nerium oleander L.)	Description	"Oleander is an ornamental evergreen shrub that can grow to approximately 20 feet tall. Its leaves are simple and narrowly lanceoleate, and 3-10 inches long. Its flowers are tubular with five or more petals and are commonly pink, red, purple, or white. The fruit pods contain many seeds, each with a tuft of hair to aid in dispersal."
Oleander (Nerium oleander L.)	Distribution	"Oleander grows commonly in the wild in the southern portion of the United States from California to Florida, and is also often grown as a cultivated plant in northern climates. It is extensively used in landscaping due to its resistance to drought, heat, wind poor soil conditions, and grazing."
Oleander (Nerium oleander L.)	Conditions of Poisoning	"All parts of the plant are highly toxic when ingested, and drying does not decrease toxicity. Sap from the plant can cause skin reactions in allergic individuals, and the smoke produced by burning the plant is also toxic. Ingestion is the most common cause of poisoning, and poisoning generally occurs when animals are allowed to graze where oleander is abundantly present. The lethal dose of green oleander leaves for horses and cattle is 0.005% of the total body weight, and the minimum lethal dose for cattle is 50 mg/kg of body weight. Horses that were given 40mg/kg of body weight consistently developed severe gastrointestinal and cardiac signs of poisoning."
Oleander (Nerium oleander L.)	Control	"Oleander plants can be removed by cutting the branches back and digging out the roots, but full removal may take time as any missed roots will continue to send up new shoots. Oleander is fast growing and tenacious, so any areas where a plant has been removed should be closely monitored for new growth and shoots should be cut back quickly. Caution should be used when pruning or removing oleander plants due to the toxic nature of the sap. Skin should be covered completely while working with the plant, a dust mask is recommended, and cuttings should not be burned."
Oleander (Nerium oleander L.)	Toxic Principle	"Cardiac glycosides, specifically oleandrin, oleandroside, nerioside, and neriine."
Oleander (Nerium oleander L.)	Clinical Signs	"Nausea, vomiting, drooling, abdominal pain, diarrhea (possibly bloody), dizziness, slowed or irregular heartbeat, dilation of pupils, drowsiness, death."
Oleander (Nerium oleander L.)	Animals Affected	"Humans, cattle, horses, dogs, cats, birds"
